"Label (Grouping)","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Florida!!Male!!Estimate","Florida!!Male!!Margin of Error","Florida!!Percent Male!!Estimate","Florida!!Percent Male!!Margin of Error","Florida!!Female!!Estimate","Florida!!Female!!Margin of Error","Florida!!Percent Female!!Estimate","Florida!!Percent Female!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Percent!!Estimate","Georgia!!Percent!!Margin of Error","Georgia!!Male!!Estimate","Georgia!!Male!!Margin of Error","Georgia!!Percent Male!!Estimate","Georgia!!Percent Male!!Margin of Error","Georgia!!Female!!Estimate","Georgia!!Female!!Margin of Error","Georgia!!Percent Female!!Estimate","Georgia!!Percent Female!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Illinois!!Male!!Estimate","Illinois!!Male!!Margin of Error","Illinois!!Percent Male!!Estimate","Illinois!!Percent Male!!Margin of Error","Illinois!!Female!!Estimate","Illinois!!Female!!Margin of Error","Illinois!!Percent Female!!Estimate","Illinois!!Percent Female!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Percent!!Estimate","New Jersey!!Percent!!Margin of Error","New Jersey!!Male!!Estimate","New Jersey!!Male!!Margin of Error","New Jersey!!Percent Male!!Estimate","New Jersey!!Percent Male!!Margin of Error","New Jersey!!Female!!Estimate","New Jersey!!Female!!Margin of Error","New Jersey!!Percent Female!!Estimate","New Jersey!!Percent Female!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Percent!!Estimate","North Carolina!!Percent!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Percent Male!!Estimate","North Carolina!!Percent Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error","North Carolina!!Percent Female!!Estimate","North Carolina!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Texas!!Male!!Estimate","Texas!!Male!!Margin of Error","Texas!!Percent Male!!Estimate","Texas!!Percent Male!!Margin of Error","Texas!!Female!!Estimate","Texas!!Female!!Margin of Error","Texas!!Percent Female!!Estimate","Texas!!Percent Female!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Percent!!Estimate","Virginia!!Percent!!Margin of Error","Virginia!!Male!!Estimate","Virginia!!Male!!Margin of Error","Virginia!!Percent Male!!Estimate","Virginia!!Percent Male!!Margin of Error","Virginia!!Female!!Estimate","Virginia!!Female!!Margin of Error","Virginia!!Percent Female!!Estimate","Virginia!!Percent Female!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Percent!!Estimate","Washington!!Percent!!Margin of Error","Washington!!Male!!Estimate","Washington!!Male!!Margin of Error","Washington!!Percent Male!!Estimate","Washington!!Percent Male!!Margin of Error","Washington!!Female!!Estimate","Washington!!Female!!Margin of Error","Washington!!Percent Female!!Estimate","Washington!!Percent Female!!Margin of Error"
"        40 to 44 years","1,370,445","±22,813","6.3%","±0.1","684,405","±14,767","6.4%","±0.1","686,040","±14,935","6.2%","±0.1","714,545","±15,717","6.6%","±0.1","342,737","±10,837","6.5%","±0.2","371,808","±10,898","6.7%","±0.2","819,718","±11,882","6.5%","±0.1","410,071","±8,022","6.5%","±0.1","409,647","±8,202","6.4%","±0.1","607,014","±9,933","6.0%","±0.1","303,673","±6,174","6.1%","±0.1","303,341","±6,340","6.0%","±0.1","607,080","±10,619","6.6%","±0.1","294,779","±7,589","6.5%","±0.2","312,301","±7,096","6.6%","±0.2","680,609","±13,444","6.5%","±0.1","330,557","±8,989","6.4%","±0.2","350,052","±8,052","6.5%","±0.1","715,384","±13,712","6.1%","±0.1","357,642","±9,457","6.2%","±0.2","357,742","±7,588","6.0%","±0.1","2,014,742","±24,933","6.8%","±0.1","1,022,769","±17,332","6.9%","±0.1","991,973","±16,528","6.7%","±0.1","577,984","±11,097","6.7%","±0.1","290,887","±7,578","6.8%","±0.2","287,097","±6,810","6.6%","±0.2","540,384","±10,433","7.0%","±0.1","277,075","±6,358","7.1%","±0.2","263,309","±7,012","6.9%","±0.2"
"        45 to 49 years","1,312,755","±7,945","6.0%","±0.1","651,154","±5,603","6.1%","±0.1","661,601","±4,604","6.0%","±0.1","687,681","±7,081","6.4%","±0.1","332,281","±4,943","6.3%","±0.1","355,400","±4,895","6.4%","±0.1","773,218","±4,896","6.1%","±0.1","389,878","±3,487","6.2%","±0.1","383,340","±2,778","6.0%","±0.1","574,058","±3,117","5.7%","±0.1","284,389","±2,097","5.7%","±0.1","289,669","±2,268","5.7%","±0.1","581,244","±2,584","6.3%","±0.1","287,817","±2,226","6.3%","±0.1","293,427","±1,633","6.2%","±0.1","654,581","±6,667","6.2%","±0.1","320,850","±4,518","6.2%","±0.1","333,731","±3,980","6.2%","±0.1","679,516","±3,750","5.8%","±0.1","339,981","±2,537","5.9%","±0.1","339,535","±2,269","5.7%","±0.1","1,839,793","±10,148","6.2%","±0.1","919,269","±6,282","6.2%","±0.1","920,524","±7,153","6.2%","±0.1","524,904","±6,102","6.1%","±0.1","260,321","±3,653","6.1%","±0.1","264,583","±4,437","6.1%","±0.1","454,468","±2,993","5.9%","±0.1","232,922","±2,060","6.0%","±0.1","221,546","±1,936","5.8%","±0.1"
"        50 to 54 years","1,404,353","±7,209","6.4%","±0.1","695,703","±4,730","6.5%","±0.1","708,650","±4,677","6.4%","±0.1","711,163","±7,087","6.6%","±0.1","350,018","±5,281","6.6%","±0.1","361,145","±4,960","6.5%","±0.1","812,897","±3,936","6.4%","±0.1","405,405","±2,417","6.5%","±0.1","407,492","±2,422","6.4%","±0.1","648,462","±3,031","6.5%","±0.1","324,082","±2,291","6.5%","±0.1","324,380","±1,806","6.4%","±0.1","635,909","±2,709","6.9%","±0.1","314,957","±1,994","6.9%","±0.1","320,952","±1,680","6.8%","±0.1","698,866","±6,947","6.6%","±0.1","343,300","±5,048","6.7%","±0.1","355,566","±3,911","6.6%","±0.1","745,436","±3,028","6.3%","±0.1","371,877","±2,254","6.4%","±0.1","373,559","±2,330","6.3%","±0.1","1,787,723","±8,095","6.1%","±0.1","894,828","±5,604","6.1%","±0.1","892,895","±5,663","6.0%","±0.1","555,026","±5,118","6.4%","±0.1","275,257","±3,761","6.4%","±0.1","279,769","±3,097","6.4%","±0.1","472,978","±3,136","6.1%","±0.1","241,203","±2,191","6.2%","±0.1","231,775","±2,067","6.0%","±0.1"
"        55 to 59 years","1,468,809","±17,412","6.7%","±0.1","712,467","±12,408","6.6%","±0.1","756,342","±11,012","6.8%","±0.1","679,360","±11,492","6.3%","±0.1","330,941","±7,629","6.3%","±0.1","348,419","±8,678","6.3%","±0.2","820,153","±11,195","6.5%","±0.1","410,090","±8,153","6.5%","±0.1","410,063","±7,202","6.4%","±0.1","673,468","±9,523","6.7%","±0.1","341,671","±5,744","6.9%","±0.1","331,797","±6,411","6.5%","±0.1","651,896","±11,555","7.0%","±0.1","323,669","±7,809","7.1%","±0.2","328,227","±6,514","7.0%","±0.1","675,797","±11,932","6.4%","±0.1","331,201","±7,946","6.4%","±0.2","344,596","±8,148","6.4%","±0.2","766,138","±11,005","6.5%","±0.1","375,715","±7,462","6.5%","±0.1","390,423","±8,128","6.5%","±0.1","1,694,061","±20,675","5.7%","±0.1","843,200","±14,358","5.7%","±0.1","850,861","±12,965","5.8%","±0.1","558,828","±10,072","6.5%","±0.1","276,727","±6,607","6.5%","±0.2","282,101","±6,950","6.5%","±0.2","466,800","±9,647","6.0%","±0.1","233,605","±6,103","6.0%","±0.2","233,195","±5,986","6.1%","±0.2"
"        60 to 64 years","1,509,806","±17,430","6.9%","±0.1","725,185","±12,317","6.8%","±0.1","784,621","±11,092","7.1%","±0.1","657,166","±11,482","6.1%","±0.1","310,596","±7,845","5.9%","±0.1","346,570","±8,207","6.3%","±0.1","831,252","±11,098","6.6%","±0.1","402,325","±8,011","6.4%","±0.1","428,927","±7,045","6.7%","±0.1","723,695","±10,308","7.2%","±0.1","347,732","±6,458","7.0%","±0.1","375,963","±6,555","7.4%","±0.1","632,933","±11,171","6.8%","±0.1","305,504","±7,770","6.7%","±0.2","327,429","±6,194","7.0%","±0.1","692,418","±12,709","6.6%","±0.1","327,887","±7,999","6.4%","±0.2","364,531","±8,497","6.7%","±0.2","823,595","±11,239","7.0%","±0.1","401,654","±7,309","6.9%","±0.1","421,941","±8,256","7.1%","±0.1","1,628,037","±20,444","5.5%","±0.1","794,550","±14,112","5.4%","±0.1","833,487","±13,429","5.6%","±0.1","562,217","±9,826","6.5%","±0.1","270,676","±6,579","6.3%","±0.2","291,541","±6,768","6.7%","±0.2","489,728","±8,896","6.3%","±0.1","242,151","±5,985","6.2%","±0.2","247,577","±5,766","6.4%","±0.2"
"        65 to 69 years","1,351,351","±16,851","6.2%","±0.1","630,424","±10,500","5.9%","±0.1","720,927","±11,130","6.5%","±0.1","543,530","±9,670","5.0%","±0.1","250,718","±5,859","4.8%","±0.1","292,812","±6,564","5.3%","±0.1","690,107","±11,457","5.4%","±0.1","323,787","±6,750","5.2%","±0.1","366,320","±7,595","5.7%","±0.1","612,137","±7,323","6.1%","±0.1","295,885","±4,919","5.9%","±0.1","316,252","±4,802","6.2%","±0.1","517,358","±8,496","5.6%","±0.1","245,363","±5,394","5.4%","±0.1","271,995","±6,764","5.8%","±0.1","590,526","±9,458","5.6%","±0.1","271,805","±6,482","5.3%","±0.1","318,721","±5,989","5.9%","±0.1","700,380","±10,354","5.9%","±0.1","334,617","±6,520","5.8%","±0.1","365,763","±6,800","6.1%","±0.1","1,331,526","±17,514","4.5%","±0.1","634,445","±10,529","4.3%","±0.1","697,081","±11,841","4.7%","±0.1","468,946","±7,244","5.4%","±0.1","221,811","±4,985","5.2%","±0.1","247,135","±4,214","5.7%","±0.1","421,924","±7,196","5.5%","±0.1","202,998","±4,939","5.2%","±0.1","218,926","±5,088","5.7%","±0.1"
"        70 to 74 years","1,241,909","±16,771","5.7%","±0.1","576,353","±10,567","5.4%","±0.1","665,556","±11,206","6.0%","±0.1","453,411","±10,178","4.2%","±0.1","204,230","±6,199","3.9%","±0.1","249,181","±6,792","4.5%","±0.1","572,936","±11,261","4.5%","±0.1","270,699","±6,797","4.3%","±0.1","302,237","±7,603","4.7%","±0.1","506,121","±7,383","5.0%","±0.1","235,125","±4,948","4.7%","±0.1","270,996","±4,898","5.3%","±0.1","405,830","±9,222","4.4%","±0.1","184,617","±5,845","4.0%","±0.1","221,213","±6,827","4.7%","±0.1","516,446","±9,129","4.9%","±0.1","238,432","±6,489","4.6%","±0.1","278,014","±5,621","5.1%","±0.1","582,773","±9,537","4.9%","±0.1","273,728","±6,226","4.7%","±0.1","309,045","±6,318","5.2%","±0.1","1,093,505","±16,876","3.7%","±0.1","501,905","±10,708","3.4%","±0.1","591,600","±11,207","4.0%","±0.1","386,957","±7,390","4.5%","±0.1","179,868","±4,873","4.2%","±0.1","207,089","±4,404","4.7%","±0.1","359,106","±6,683","4.6%","±0.1","168,783","±4,856","4.3%","±0.1","190,323","±4,847","5.0%","±0.1"
"        75 to 79 years","900,486","±13,572","4.1%","±0.1","419,381","±7,465","3.9%","±0.1","481,105","±10,504","4.3%","±0.1","279,012","±6,404","2.6%","±0.1","119,942","±4,340","2.3%","±0.1","159,070","±4,907","2.9%","±0.1","369,334","±7,749","2.9%","±0.1","156,375","±5,021","2.5%","±0.1","212,959","±5,270","3.3%","±0.1","318,950","±6,696","3.2%","±0.1","143,767","±4,174","2.9%","±0.1","175,183","±4,512","3.5%","±0.1","270,036","±7,147","2.9%","±0.1","116,794","±4,320","2.6%","±0.1","153,242","±5,138","3.3%","±0.1","326,449","±6,766","3.1%","±0.1","143,354","±4,163","2.8%","±0.1","183,095","±5,066","3.4%","±0.1","355,568","±5,754","3.0%","±0.1","153,904","±4,009","2.6%","±0.1","201,664","±4,403","3.4%","±0.1","678,928","±11,555","2.3%","±0.1","304,851","±7,197","2.1%","±0.1","374,077","±8,403","2.5%","±0.1","252,737","±5,526","2.9%","±0.1","110,938","±3,540","2.6%","±0.1","141,799","±4,784","3.2%","±0.1","214,695","±6,135","2.8%","±0.1","99,082","±3,661","2.5%","±0.1","115,613","±4,089","3.0%","±0.1"
"        80 to 84 years","572,496","±12,561","2.6%","±0.1","253,922","±7,386","2.4%","±0.1","318,574","±10,017","2.9%","±0.1","170,344","±7,090","1.6%","±0.1","69,864","±3,559","1.3%","±0.1","100,480","±5,013","1.8%","±0.1","241,987","±5,550","1.9%","±0.1","105,645","±3,487","1.7%","±0.1","136,342","±4,144","2.1%","±0.1","194,535","±5,605","1.9%","±0.1","84,292","±3,126","1.7%","±0.1","110,243","±4,269","2.2%","±0.1","183,895","±5,457","2.0%","±0.1","75,991","±3,945","1.7%","±0.1","107,904","±3,556","2.3%","±0.1","192,693","±6,198","1.8%","±0.1","83,354","±4,084","1.6%","±0.1","109,339","±4,401","2.0%","±0.1","236,635","±6,422","2.0%","±0.1","99,229","±4,078","1.7%","±0.1","137,406","±4,062","2.3%","±0.1","420,578","±10,870","1.4%","±0.1","185,357","±7,098","1.3%","±0.1","235,221","±6,728","1.6%","±0.1","150,963","±4,151","1.7%","±0.1","65,433","±3,303","1.5%","±0.1","85,530","±3,653","2.0%","±0.1","132,452","±5,004","1.7%","±0.1","57,799","±3,144","1.5%","±0.1","74,653","±3,733","1.9%","±0.1"
"        85 years and over","532,754","±12,256","2.4%","±0.1","213,528","±6,704","2.0%","±0.1","319,226","±9,324","2.9%","±0.1","139,390","±6,231","1.3%","±0.1","51,690","±3,668","1.0%","±0.1","87,700","±5,037","1.6%","±0.1","228,945","±8,024","1.8%","±0.1","78,734","±4,233","1.3%","±0.1","150,211","±5,369","2.3%","±0.1","191,541","±6,052","1.9%","±0.1","69,454","±3,638","1.4%","±0.1","122,087","±4,041","2.4%","±0.1","186,502","±6,573","2.0%","±0.1","65,170","±3,604","1.4%","±0.1","121,332","±4,860","2.6%","±0.1","170,255","±6,140","1.6%","±0.1","56,197","±3,327","1.1%","±0.1","114,058","±4,313","2.1%","±0.1","227,213","±6,198","1.9%","±0.1","80,013","±3,555","1.4%","±0.1","147,200","±4,358","2.5%","±0.1","367,874","±9,428","1.2%","±0.1","132,793","±6,147","0.9%","±0.1","235,081","±7,703","1.6%","±0.1","146,877","±5,055","1.7%","±0.1","51,474","±3,034","1.2%","±0.1","95,403","±3,939","2.2%","±0.1","123,463","±5,155","1.6%","±0.1","48,694","±2,978","1.2%","±0.1","74,769","±3,643","1.9%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","2,437,603","±5,250","11.2%","±0.1","1,248,235","±5,280","11.6%","±0.1","1,189,368","±3,854","10.7%","±0.1","1,442,187","±8,320","13.4%","±0.1","738,115","±5,864","14.0%","±0.1","704,072","±7,460","12.7%","±0.1","1,591,197","±3,432","12.6%","±0.1","809,799","±2,578","12.9%","±0.1","781,398","±2,787","12.2%","±0.1","1,217,645","±2,830","12.1%","±0.1","624,972","±2,384","12.6%","±0.1","592,673","±2,815","11.7%","±0.1","1,144,562","±2,033","12.4%","±0.1","584,655","±1,735","12.8%","±0.1","559,907","±1,548","11.9%","±0.1","1,307,487","±6,526","12.4%","±0.1","666,854","±4,864","13.0%","±0.1","640,633","±5,126","11.9%","±0.1","1,474,334","±3,776","12.5%","±0.1","757,156","±3,030","13.0%","±0.1","717,178","±2,535","12.0%","±0.1","4,262,333","±7,203","14.4%","±0.1","2,178,853","±6,837","14.8%","±0.1","2,083,480","±6,957","14.1%","±0.1","1,073,239","±5,082","12.4%","±0.1","555,210","±4,641","13.0%","±0.1","518,029","±3,894","11.9%","±0.1","959,965","±2,479","12.4%","±0.1","491,736","±2,030","12.6%","±0.1","468,229","±1,803","12.2%","±0.1"
"        15 to 17 years","758,266","±3,994","3.5%","±0.1","390,630","±4,886","3.6%","±0.1","367,636","±3,986","3.3%","±0.1","453,968","±5,889","4.2%","±0.1","233,924","±6,035","4.4%","±0.1","220,044","±5,662","4.0%","±0.1","505,429","±2,165","4.0%","±0.1","261,633","±2,338","4.2%","±0.1","243,796","±2,851","3.8%","±0.1","388,313","±1,988","3.9%","±0.1","197,786","±2,280","4.0%","±0.1","190,527","±2,197","3.8%","±0.1","360,114","±1,595","3.9%","±0.1","186,907","±2,040","4.1%","±0.1","173,207","±1,901","3.7%","±0.1","409,458","±5,045","3.9%","±0.1","211,026","±4,950","4.1%","±0.1","198,432","±4,156","3.7%","±0.1","460,141","±2,173","3.9%","±0.1","234,704","±2,822","4.0%","±0.1","225,437","±2,619","3.8%","±0.1","1,302,587","±4,864","4.4%","±0.1","667,645","±6,159","4.5%","±0.1","634,942","±5,878","4.3%","±0.1","327,587","±3,888","3.8%","±0.1","165,511","±3,169","3.9%","±0.1","162,076","±3,408","3.7%","±0.1","283,293","±2,120","3.7%","±0.1","144,356","±2,222","3.7%","±0.1","138,937","±2,226","3.6%","±0.1"
"        Under 18 years","4,287,823","±2,508","19.7%","±0.1","2,197,449","±7,342","20.5%","±0.1","2,090,374","±6,716","18.9%","±0.1","2,522,124","±3,079","23.4%","±0.1","1,296,280","±8,602","24.6%","±0.1","1,225,844","±8,754","22.2%","±0.1","2,800,177","±1,893","22.1%","±0.1","1,433,263","±3,670","22.9%","±0.1","1,366,914","±3,441","21.3%","±0.1","2,151,937","±2,120","21.4%","±0.1","1,100,585","±3,560","22.1%","±0.1","1,051,352","±3,606","20.7%","±0.1","2,020,876","±777","21.8%","±0.1","1,035,853","±2,801","22.7%","±0.1","985,023","±2,811","20.9%","±0.1","2,299,746","±3,794","21.8%","±0.1","1,175,627","±7,238","22.8%","±0.1","1,124,119","±7,620","20.8%","±0.1","2,603,410","±2,846","22.1%","±0.1","1,334,155","±4,345","23.0%","±0.1","1,269,255","±4,067","21.3%","±0.1","7,456,547","±3,538","25.3%","±0.1","3,813,914","±9,052","25.9%","±0.1","3,642,633","±9,482","24.6%","±0.1","1,881,818","±3,383","21.8%","±0.1","965,848","±5,623","22.6%","±0.1","915,970","±5,537","21.0%","±0.1","1,675,782","±2,774","21.7%","±0.1","858,534","±3,304","22.0%","±0.1","817,248","±3,420","21.3%","±0.1"
"        18 to 24 years","1,731,183","±7,357","7.9%","±0.1","880,122","±5,710","8.2%","±0.1","851,061","±5,059","7.7%","±0.1","1,043,171","±9,960","9.7%","±0.1","530,790","±6,943","10.1%","±0.1","512,381","±6,531","9.3%","±0.1","1,140,595","±4,826","9.0%","±0.1","581,659","±3,868","9.3%","±0.1","558,936","±3,524","8.7%","±0.1","926,979","±4,136","9.2%","±0.1","470,733","±2,843","9.5%","±0.1","456,246","±2,880","9.0%","±0.1","771,827","±3,298","8.3%","±0.1","394,304","±2,300","8.6%","±0.1","377,523","±2,282","8.0%","±0.1","1,005,784","±8,213","9.5%","±0.1","514,595","±5,657","10.0%","±0.1","491,189","±5,996","9.1%","±0.1","1,058,634","±5,901","9.0%","±0.1","536,947","±3,875","9.2%","±0.1","521,687","±3,925","8.7%","±0.1","2,846,706","±12,409","9.6%","±0.1","1,463,860","±9,191","9.9%","±0.1","1,382,846","±7,852","9.4%","±0.1","817,784","±7,571","9.5%","±0.1","418,885","±5,750","9.8%","±0.1","398,899","±5,031","9.1%","±0.1","661,761","±4,891","8.6%","±0.1","343,936","±3,209","8.8%","±0.1","317,825","±3,034","8.3%","±0.1"
"        15 to 44 years","7,956,852","±8,570","36.5%","±0.1","4,029,584","±7,684","37.6%","±0.1","3,927,268","±6,055","35.5%","±0.1","4,410,353","±12,372","40.8%","±0.1","2,187,508","±10,004","41.5%","±0.2","2,222,845","±9,677","40.2%","±0.2","5,035,892","±6,049","39.7%","±0.1","2,549,796","±5,135","40.7%","±0.1","2,486,096","±4,698","38.8%","±0.1","3,844,220","±4,191","38.2%","±0.1","1,947,673","±3,828","39.1%","±0.1","1,896,547","±3,909","37.4%","±0.1","3,540,765","±3,220","38.2%","±0.1","1,794,732","±3,241","39.3%","±0.1","1,746,033","±2,552","37.1%","±0.1","4,142,843","±9,836","39.3%","±0.1","2,068,342","±8,669","40.2%","±0.1","2,074,501","±7,404","38.4%","±0.1","4,519,494","±5,050","38.4%","±0.1","2,278,406","±4,759","39.2%","±0.1","2,241,088","±4,406","37.5%","±0.1","12,531,956","±14,673","42.4%","±0.1","6,381,544","±10,956","43.3%","±0.1","6,150,412","±9,740","41.6%","±0.1","3,480,588","±8,960","40.3%","±0.1","1,761,089","±6,246","41.2%","±0.1","1,719,499","±6,803","39.4%","±0.1","3,210,589","±4,394","41.5%","±0.1","1,655,905","±4,083","42.5%","±0.1","1,554,684","±3,857","40.5%","±0.1"
"        16 years and over","18,010,659","±8,981","82.7%","±0.1","8,784,293","±7,287","82.0%","±0.1","9,226,366","±7,130","83.4%","±0.1","8,575,918","±9,300","79.4%","±0.1","4,131,560","±8,057","78.4%","±0.1","4,444,358","±7,513","80.4%","±0.1","10,203,044","±6,304","80.5%","±0.1","5,005,285","±5,275","79.9%","±0.1","5,197,759","±5,400","81.1%","±0.1","8,156,411","±5,162","81.2%","±0.1","4,007,348","±4,500","80.5%","±0.1","4,149,063","±4,034","81.8%","±0.1","7,489,289","±5,520","80.8%","±0.1","3,654,605","±4,326","80.1%","±0.1","3,834,684","±4,066","81.5%","±0.1","8,524,268","±7,507","80.8%","±0.1","4,112,965","±7,634","79.9%","±0.1","4,411,303","±5,823","81.7%","±0.1","9,480,334","±6,818","80.5%","±0.1","4,629,515","±5,757","79.7%","±0.1","4,850,819","±5,028","81.2%","±0.1","22,934,023","±14,146","77.7%","±0.1","11,367,265","±11,802","77.1%","±0.1","11,566,758","±10,219","78.2%","±0.1","6,980,718","±6,283","80.8%","±0.1","3,419,165","±6,353","80.0%","±0.1","3,561,553","±5,058","81.5%","±0.1","6,250,868","±5,730","80.8%","±0.1","3,135,962","±5,108","80.5%","±0.1","3,114,906","±4,145","81.1%","±0.1"
"        18 years and over","17,493,305","±2,508","80.3%","±0.1","8,517,071","±4,244","79.5%","±0.1","8,976,234","±4,157","81.1%","±0.1","8,277,442","±3,079","76.6%","±0.1","3,973,864","±4,858","75.4%","±0.1","4,303,578","±4,522","77.8%","±0.1","9,871,292","±1,893","77.9%","±0.1","4,831,101","±3,251","77.1%","±0.1","5,040,191","±3,110","78.7%","±0.1","7,898,874","±2,120","78.6%","±0.1","3,876,284","±2,892","77.9%","±0.1","4,022,590","±2,429","79.3%","±0.1","7,246,254","±777","78.2%","±0.1","3,527,707","±1,622","77.3%","±0.1","3,718,547","±1,425","79.1%","±0.1","8,251,416","±3,794","78.2%","±0.1","3,973,696","±4,252","77.2%","±0.1","4,277,720","±3,854","79.2%","±0.1","9,176,607","±2,846","77.9%","±0.1","4,474,420","±3,190","77.0%","±0.1","4,702,187","±3,853","78.7%","±0.1","22,071,394","±3,538","74.7%","±0.1","10,925,097","±5,680","74.1%","±0.1","11,146,297","±5,423","75.4%","±0.1","6,760,456","±3,383","78.2%","±0.1","3,308,083","±4,373","77.4%","±0.1","3,452,373","±3,574","79.0%","±0.1","6,062,910","±2,774","78.3%","±0.1","3,038,786","±3,295","78.0%","±0.1","3,024,124","±2,068","78.7%","±0.1"
"        21 years and over","16,753,101","±14,485","76.9%","±0.1","8,140,087","±10,306","76.0%","±0.1","8,613,014","±9,829","77.8%","±0.1","7,812,956","±10,613","72.3%","±0.1","3,742,282","±9,160","71.0%","±0.2","4,070,674","±9,939","73.6%","±0.2","9,374,318","±9,456","74.0%","±0.1","4,572,577","±7,555","73.0%","±0.1","4,801,741","±6,745","74.9%","±0.1","7,491,294","±7,334","74.5%","±0.1","3,668,853","±5,994","73.7%","±0.1","3,822,441","±4,597","75.3%","±0.1","6,920,044","±6,059","74.7%","±0.1","3,356,125","±4,486","73.5%","±0.1","3,563,919","±5,010","75.8%","±0.1","7,802,457","±10,064","73.9%","±0.1","3,744,115","±8,144","72.7%","±0.2","4,058,342","±7,988","75.1%","±0.2","8,700,622","±9,587","73.9%","±0.1","4,229,906","±6,267","72.8%","±0.1","4,470,716","±7,298","74.9%","±0.1","20,833,448","±14,647","70.6%","±0.1","10,281,871","±13,584","69.8%","±0.1","10,551,577","±10,228","71.3%","±0.1","6,397,867","±8,356","74.0%","±0.1","3,122,956","±7,769","73.1%","±0.2","3,274,911","±7,237","75.0%","±0.2","5,786,705","±7,166","74.8%","±0.1","2,896,513","±6,154","74.3%","±0.2","2,890,192","±4,479","75.2%","±0.1"
"        60 years and over","6,108,802","±17,681","28.0%","±0.1","2,818,793","±12,461","26.3%","±0.1","3,290,009","±11,887","29.7%","±0.1","2,242,853","±11,877","20.8%","±0.1","1,007,040","±8,229","19.1%","±0.2","1,235,813","±8,054","22.3%","±0.2","2,934,561","±11,209","23.2%","±0.1","1,337,565","±8,218","21.4%","±0.1","1,596,996","±6,941","24.9%","±0.1","2,546,979","±9,881","25.3%","±0.1","1,176,255","±6,546","23.6%","±0.1","1,370,724","±6,628","27.0%","±0.1","2,196,554","±11,556","23.7%","±0.1","993,439","±7,799","21.8%","±0.2","1,203,115","±6,647","25.6%","±0.1","2,488,787","±12,874","23.6%","±0.1","1,121,029","±7,581","21.8%","±0.2","1,367,758","±9,043","25.3%","±0.2","2,926,164","±11,762","24.8%","±0.1","1,343,145","±7,611","23.1%","±0.1","1,583,019","±8,220","26.5%","±0.1","5,520,448","±20,236","18.7%","±0.1","2,553,901","±14,206","17.3%","±0.1","2,966,547","±13,011","20.1%","±0.1","1,968,697","±10,619","22.8%","±0.1","900,200","±6,910","21.1%","±0.2","1,068,497","±7,675","24.5%","±0.2","1,741,368","±9,985","22.5%","±0.1","819,507","±6,391","21.0%","±0.2","921,861","±6,244","24.0%","±0.2"
